Date,Opening,High,Low,Close
2018-06-04,313,314.9,312.55,314.3
2018-06-01,310.3,313.65,309.45,312.55
2018-05-31,311,311.2,309.3,310.3
2018-05-30,314.8,315,307.55,308.7
2018-05-29,318.75,319.3,316.05,316.05
2018-05-28,319.2,319.8,318.5,319.25
2018-05-25,315.95,318.75,315.75,318.45
2018-05-24,319,319.3,316.55,317.7
2018-05-23,316.2,318.75,315.85,318.3
2018-05-21,316.15,317.3,313.65,316.25
2018-05-18,315.5,316,314.8,315.9
2018-05-17,317.35,318.15,314.55,314.55
2018-05-16,313.9,316.95,313.65,316.05
2018-05-15,317.5,318.5,314.7,314.9
2018-05-14,319.25,319.75,317.5,318
2018-05-11,318.5,319.95,318,318.8
2018-05-10,316.35,317.3,315.45,317
2018-05-09,315.7,316.25,312.8,315.2
2018-05-08,318.5,319.3,315.2,315.2
2018-05-04,319.8,320.15,317.05,317.6
2018-05-03,320.1,320.8,318.6,319.15
2018-05-02,322.25,322.8,320.35,320.9
2018-04-30,322.5,323.45,321.6,322.8
2018-04-27,321.5,323.4,320.05,321.3
2018-04-26,315.3,319.5,315.1,318.6
2018-04-25,314,314.75,312.65,314.1
2018-04-24,318.7,318.8,314.9,316.5
2018-04-23,317.7,318.8,317.1,318.25
2018-04-20,318.5,319.8,318,318.05
2018-04-19,320,321.2,319.2,320.15
2018-04-18,317.3,319.95,317.1,318.75
2018-04-17,315.8,316.95,314.7,315.55
2018-04-16,317.15,317.4,314.75,315.45
2018-04-13,314.3,315.95,313.85,315.6
2018-04-12,314.75,315.35,312.85,312.9
2018-04-11,314.85,315.85,313.2,313.6
2018-04-10,313,315.5,310.3,314.6
2018-04-09,311.75,314.7,311.4,314.1
2018-04-06,311.75,312.95,310.3,312.35
2018-04-05,311.75,315.1,311.05,314.1
2018-04-04,314.65,314.7,308.7,308.7
2018-04-03,312.1,314.3,311,313.95
2018-04-02,315.7,318.1,314.6,314.6
2018-03-30,317.15,318,315.4,315.7
2018-03-29,312.95,315.6,311.55,315.6
2018-03-28,312.85,313.25,310.55,311.8
2018-03-27,317.3,317.7,315.7,316.3
2018-03-26,311.7,315.65,310.1,315.65
2018-03-23,316.55,317.8,311.8,312.65
2018-03-22,322.75,325.5,322.4,323.25
2018-03-21,322.35,323.35,321.8,322.75
2018-03-20,319,322.45,318.3,322.45
2018-03-19,322.8,323.2,320.15,321
2018-03-16,323.2,323.95,320.8,323.15
2018-03-15,323.4,324.1,320.35,324
2018-03-14,320.3,322.8,320.25,322.7
2018-03-13,321.35,323.15,320.8,322.65
2018-03-12,321.85,322.55,320.15,321.25
2018-03-09,316.25,321.3,315.35,318.25
2018-03-08,313.7,314.2,310.9,314.1
2018-03-07,311.55,314.1,308.8,310.95
2018-03-06,307.15,310.8,306.75,310.8
2018-03-05,307.7,308.6,304.05,304.35
2018-03-02,309.6,310.15,306.65,308.65
2018-02-28,316.1,317.25,312.65,312.95
2018-02-27,319.4,320.95,316.25,316.25
2018-02-26,318.7,318.85,316.35,317.6
2018-02-23,313.75,317.45,313.6,317.45
2018-02-22,312.6,313.35,311,312.35
2018-02-21,313,315.05,310.75,314.55
2018-02-20,315.55,315.8,312.2,312.5
2018-02-19,319.1,319.3,314.7,316.75
2018-02-14,312.65,315.7,312.6,314.8
2018-02-13,310.75,314.35,309.2,311.9
2018-02-12,306.8,309.8,305.2,308.6
2018-02-09,303.3,306.5,302.1,304.35
2018-02-08,311.1,314.6,310,313
2018-02-07,322,322.3,310,310
2018-02-06,317.45,319.7,313.15,318.15
2018-02-05,323.6,324.9,321.45,323.5
2018-02-02,333.2,333.6,326.85,327.9
2018-02-01,335.3,336.3,333.6,334.15
2018-01-31,333.4,339.25,332.8,334.95
2018-01-30,338.35,338.95,334,334.4
2018-01-29,338.15,340.3,337.7,339
2018-01-26,334.5,336.45,333.8,336.45
2018-01-25,331.05,335.4,331,334.8
2018-01-24,330.95,333.35,330.9,332.1
2018-01-23,328.15,331.75,327.85,331.75
2018-01-22,330,330.05,325.3,326.75
2018-01-19,330.4,331.15,329.55,330.1
2018-01-18,331.3,332.7,329.45,329.9
2018-01-17,329.95,330.9,328.9,329.7
2018-01-16,328,331.3,327.35,331
2018-01-15,329,329.75,327.05,327.8
2018-01-12,327.8,328.2,325.1,327.35
2018-01-11,328.2,328.85,326,327
2018-01-10,331.85,331.95,328.05,328.35
2018-01-09,331.2,333.5,329.45,330.95
2018-01-08,331.4,332.65,329.25,331.75
2018-01-05,326.5,329.7,326.25,329.45
2018-01-04,329.95,330.15,325.05,325.5
2018-01-03,328,329.1,327.25,328.2
2018-01-02,326.6,327.5,325.45,327
2017-12-28,321.5,326.15,321.4,326.15
2017-12-27,319,321.7,318.2,321.7
2017-12-26,319.8,321.75,317.5,317.95
2017-12-22,318.65,319.85,317.4,319
2017-12-21,323,323.55,317.35,317.35
2017-12-20,323.9,325.3,323.6,324.05
2017-12-19,325.15,327.25,323.65,324.35
2017-12-18,324.25,324.9,323.4,324.65
2017-12-15,325.3,326.25,323.25,323.25
2017-12-14,327.05,331.35,326.8,327.65
2017-12-13,324.35,326.75,323.35,326.2
2017-12-12,324.95,325.3,323.2,323.8
2017-12-11,325.1,325.45,323.5,324.85
2017-12-08,324.75,325.6,323.55,324.75
2017-12-07,325.8,325.85,322.65,324.05
2017-12-06,329.9,329.95,324.7,325
2017-12-05,327,330.35,326.3,329.95
2017-12-04,326.55,328.6,325.05,328.35
2017-12-01,326.5,326.85,324.55,325.2
2017-11-30,328.75,329.85,324.45,325.6
2017-11-29,331.5,332.55,330.4,331.05
2017-11-28,330.15,331.75,328.95,331.05
2017-11-27,335.85,336,329.25,329.25
2017-11-24,335.3,335.8,334.05,335.6
2017-11-23,336.25,336.3,334.5,334.8
2017-11-22,336,337.5,334.9,335.9
2017-11-21,334.25,335.2,333.15,334.2
2017-11-20,335.05,335.6,332.55,332.8
2017-11-17,336.25,338.6,334.2,334.3
2017-11-16,333.4,335.25,332.55,334.65
2017-11-15,334,334.2,332.05,332.5
2017-11-14,334.8,335.3,333.8,334.65
2017-11-13,336.3,337.9,334.4,334.9
2017-11-10,335.45,337.2,335.2,336.25
2017-11-09,339.15,339.25,335.65,337
2017-11-08,335.7,339.55,335.4,338.6
2017-11-07,337.5,338.95,336.75,337.1
2017-11-06,339,339.5,335.05,337.5
2017-11-03,339.3,339.95,336.8,339.7
2017-11-02,339.5,339.85,337.55,338.4
2017-11-01,336.45,339.9,335.9,339.9
2017-10-31,331,334.85,330.2,334.4
2017-10-30,331.95,332.1,330.3,330.8
2017-10-27,327.75,330.35,327.45,330.2
2017-10-26,329.85,330.1,327.1,327.1
2017-10-25,330.05,330.65,328.7,330.1
2017-10-24,330.2,330.8,329.8,329.9
2017-10-23,330.55,331.1,329.25,330.4
2017-10-20,327.6,329.65,327.6,329.6
2017-10-19,330.05,330.25,327.1,327.45
2017-10-18,328.85,330.1,328.3,329.2
2017-10-17,328.9,329.85,328.7,329.15
2017-10-16,329,330.25,328.15,328.85
2017-10-13,328.4,329.3,327.9,328.65
2017-10-12,326.95,329.1,326.8,329
2017-10-11,324.5,326.9,324.1,326.6
2017-10-10,322.3,324.85,321.4,323.5
2017-09-29,315.1,317.65,315.05,317.65
2017-09-28,314.8,315.9,313.95,314.95
2017-09-27,315.55,315.6,314.3,314.75
2017-09-26,315.8,316.5,314.65,315.15
2017-09-25,317.65,317.95,316.2,317.15
2017-09-22,318.95,320.1,316.4,317.1
2017-09-21,318.7,319.85,318.35,319.4
2017-09-20,320.1,321.6,318.15,319.15
2017-09-19,319.65,320.2,319.1,319.4
2017-09-18,314.85,320.05,314.65,320.05
2017-09-15,312.55,314.6,311.75,314.55
2017-09-14,310.75,311.7,309.75,311.6
2017-09-13,311,312.35,309.75,309.9
2017-09-12,311.85,311.9,309.85,310.55
2017-09-11,308.85,311.5,308.65,310.6
2017-09-08,307.8,308.1,306.85,307.6
2017-09-07,304.55,307.7,304.3,307.55
2017-09-06,304.1,304.2,302.7,303.65
2017-09-05,305.95,306,303.5,304.05
2017-09-04,303.1,306.6,303,304.85
2017-09-01,309.1,309.5,306.85,307.65
2017-08-31,309.9,310.55,307.4,308
2017-08-30,309.5,310.35,308.65,310.35
2017-08-29,307.95,309.1,304.45,308.5
2017-08-28,311.1,312.05,309.35,309.55
2017-08-25,312.25,312.55,310.75,311.6
2017-08-24,310,312.05,309.95,311.45
2017-08-23,311.5,311.7,309.25,309.95
2017-08-22,308.9,310.35,308.9,310.05
2017-08-21,309.75,309.8,307.9,308.4
2017-08-18,306.5,309.3,306.3,309.1
2017-08-17,308.2,309.85,307.3,309.25
2017-08-16,308.75,309.15,307.1,307.6
2017-08-14,305.2,306.4,304.45,305.95
2017-08-11,303.9,305.4,302.3,302.85
2017-08-10,309,310.35,306.4,308.6
2017-08-09,311.7,312.7,309.65,310
2017-08-08,315.1,316.2,312.25,314.2
2017-08-07,314.65,316.3,314.1,314.25
2017-08-04,312.9,314.9,312.55,314.2
2017-08-03,317.55,317.65,310.7,313
2017-08-02,318.75,319.45,318.1,318.5
2017-08-01,314.15,319.45,313.85,317.9
